years,tradeDate,close
2011,9-May-11,347.6
2011,6-May-11,346.66
2011,5-May-11,346.75
2011,4-May-11,349.57
2011,3-May-11,348.2
2011,2-May-11,346.28
2011,29-Apr-11,350.13
2011,28-Apr-11,346.75
2011,27-Apr-11,350.15
2011,26-Apr-11,350.42
2011,25-Apr-11,353.01
2011,21-Apr-11,350.7
2011,20-Apr-11,342.41
2011,19-Apr-11,337.86
2011,18-Apr-11,331.85
2011,15-Apr-11,327.46
2011,14-Apr-11,332.42
2011,13-Apr-11,336.13
2011,12-Apr-11,332.4
2011,11-Apr-11,330.8
2011,8-Apr-11,335.06
2011,7-Apr-11,338.08
2011,6-Apr-11,338.04
2011,5-Apr-11,338.89
2011,4-Apr-11,341.19
2011,1-Apr-11,344.56
2011,31-Mar-11,348.51
2011,30-Mar-11,348.63
2011,29-Mar-11,350.96
2011,28-Mar-11,350.44
2011,25-Mar-11,351.54
2011,24-Mar-11,344.97
2011,23-Mar-11,339.19
2011,22-Mar-11,341.2
2011,21-Mar-11,339.3
2011,18-Mar-11,330.67
2011,17-Mar-11,334.64
2011,16-Mar-11,330.01
2011,15-Mar-11,345.43
2011,14-Mar-11,353.56
2011,11-Mar-11,351.99
2011,10-Mar-11,346.67
2011,9-Mar-11,352.47
2011,8-Mar-11,355.76
2011,7-Mar-11,355.36
2011,4-Mar-11,360
2011,3-Mar-11,359.56
2011,2-Mar-11,352.12
2011,1-Mar-11,349.31
2011,28-Feb-11,353.21
2011,25-Feb-11,348.16
2011,24-Feb-11,342.88
2011,23-Feb-11,342.62
2011,22-Feb-11,338.61
2011,18-Feb-11,350.56
2011,17-Feb-11,358.3
2011,16-Feb-11,363.13
2011,15-Feb-11,359.9
2011,14-Feb-11,359.18
2011,11-Feb-11,356.85
2011,10-Feb-11,354.54
2011,9-Feb-11,358.16
2011,8-Feb-11,355.2
2011,7-Feb-11,351.88
2011,4-Feb-11,346.5
2011,3-Feb-11,343.44
2011,2-Feb-11,344.32
2011,1-Feb-11,345.03
2011,31-Jan-11,339.32
2011,28-Jan-11,336.1
2011,27-Jan-11,343.21
2011,26-Jan-11,343.85
2011,25-Jan-11,341.4
2011,24-Jan-11,337.45
2011,21-Jan-11,326.72
2011,20-Jan-11,332.68
2011,19-Jan-11,338.84
2011,18-Jan-11,340.65
2011,14-Jan-11,348.48
2011,13-Jan-11,345.68
2011,12-Jan-11,344.42
2011,11-Jan-11,341.64
2011,10-Jan-11,342.46
2011,7-Jan-11,336.12
2011,6-Jan-11,333.73
2011,5-Jan-11,334
2011,4-Jan-11,331.29
2011,3-Jan-11,329.57
2010,31-Dec-10,322.56
2010,30-Dec-10,323.66
2010,29-Dec-10,325.29
2010,28-Dec-10,325.47
2010,27-Dec-10,324.68
2010,23-Dec-10,323.6
2010,22-Dec-10,325.16
2010,21-Dec-10,324.2
2010,20-Dec-10,322.21
2010,17-Dec-10,320.61
2010,16-Dec-10,321.25
2010,15-Dec-10,320.36
2010,14-Dec-10,320.29
2010,13-Dec-10,321.67
2010,10-Dec-10,320.56
2010,9-Dec-10,319.76
2010,8-Dec-10,321.01
2010,7-Dec-10,318.21
2010,6-Dec-10,320.15
2010,3-Dec-10,317.44
2010,2-Dec-10,318.15
2010,1-Dec-10,316.4
2010,30-Nov-10,311.15
2010,29-Nov-10,316.87
2010,26-Nov-10,315
2010,24-Nov-10,314.8
2010,23-Nov-10,308.73
2010,22-Nov-10,313.36
2010,19-Nov-10,306.73
2010,18-Nov-10,308.43
2010,17-Nov-10,300.5
2010,16-Nov-10,301.59
2010,15-Nov-10,307.04
